52 	 # Number of sensors 
# x z 
-1.90 -1.27 
-0.95 -1.13 
0.00 -0.98 
0.94 -0.84 
1.88 -0.69 
2.81 -0.52 
3.75 -0.34 
4.78 -0.17 
5.82 0.00 
6.77 -0.01 
7.72 -0.02 
8.72 -0.06 
9.72 -0.10 
10.72 -0.14 
11.71 -0.17 
12.75 -0.36 
13.78 -0.54 
14.78 -0.51 
15.78 -0.47 
16.78 -0.41 
17.78 -0.35 
18.77 -0.27 
19.77 -0.19 
20.72 -0.27 
21.66 -0.34 
22.71 -0.34 
23.76 -0.33 
24.75 -0.48 
25.74 -0.63 
26.74 -0.67 
27.74 -0.71 
28.74 -0.63 
29.73 -0.55 
30.65 -0.81 
31.56 -1.07 
32.70 -0.91 
33.84 -0.75 
34.84 -0.83 
35.83 -0.91 
36.88 -0.93 
37.93 -0.94 
38.93 -0.98 
39.93 -1.01 
40.93 -0.93 
41.92 -0.84 
42.87 -0.89 
43.82 -0.93 
44.82 -0.99 
45.82 -1.05 
46.87 -1.04 
47.92 -1.03 
48.94 -1.26 
562 	 # Number of measurements 
# s g t err
38 9 0.01649 0.001
38 11 0.01473 0.001
38 13 0.01366 0.001
38 15 0.01467 0.001
38 17 0.01317 0.001
38 19 0.01396 0.001
38 21 0.01492 0.001
38 23 0.01444 0.001
38 25 0.01080 0.001
38 27 0.00978 0.001
38 29 0.00765 0.001
38 31 0.00743 0.001
38 33 0.00711 0.001
38 35 0.00652 0.001
38 37 0.00283 0.001
38 38 0.00000 0.001
38 39 0.00246 0.001
38 41 0.00807 0.001
38 43 0.00882 0.001
38 45 0.00952 0.001
38 47 0.00972 0.001
38 49 0.01200 0.001
42 3 0.01702 0.001
42 5 0.01572 0.001
42 7 0.01524 0.001
42 9 0.01536 0.001
42 11 0.01459 0.001
42 13 0.01354 0.001
42 15 0.01394 0.001
42 17 0.01328 0.001
42 19 0.01396 0.001
42 21 0.01475 0.001
42 23 0.01409 0.001
42 25 0.01139 0.001
42 27 0.01099 0.001
42 29 0.00763 0.001
42 31 0.00808 0.001
42 33 0.00839 0.001
42 35 0.00760 0.001
42 37 0.00727 0.001
42 39 0.00536 0.001
42 41 0.00164 0.001
42 42 0.00000 0.001
42 43 0.00236 0.001
42 45 0.00278 0.001
42 47 0.00570 0.001
42 49 0.00820 0.001
44 3 0.01740 0.001
44 5 0.01650 0.001
44 9 0.01625 0.001
44 11 0.01502 0.001
44 13 0.01420 0.001
44 15 0.01485 0.001
44 17 0.01280 0.001
44 19 0.01321 0.001
44 21 0.01485 0.001
44 23 0.01436 0.001
44 25 0.01149 0.001
44 27 0.01067 0.001
44 29 0.00837 0.001
44 31 0.00837 0.001
44 33 0.00739 0.001
44 35 0.00714 0.001
44 39 0.00698 0.001
44 41 0.00468 0.001
44 43 0.00320 0.001
44 44 0.00000 0.001
44 45 0.00369 0.001
44 47 0.00509 0.001
44 49 0.00911 0.001
46 3 0.01923 0.001
46 5 0.01779 0.001
46 7 0.01549 0.001
46 9 0.01430 0.001
46 11 0.01277 0.001
46 13 0.01209 0.001
46 15 0.01174 0.001
46 17 0.01123 0.001
46 19 0.01089 0.001
46 21 0.01285 0.001
46 23 0.01174 0.001
46 25 0.00979 0.001
46 29 0.00579 0.001
46 31 0.00630 0.001
46 33 0.00749 0.001
46 35 0.00630 0.001
46 37 0.00630 0.001
46 39 0.00502 0.001
46 41 0.00289 0.001
46 45 0.00238 0.001
46 46 0.00000 0.001
46 47 0.00136 0.001
46 49 0.00451 0.001
48 3 0.01841 0.001
48 5 0.01770 0.001
48 9 0.01737 0.001
48 11 0.01595 0.001
48 13 0.01473 0.001
48 15 0.01576 0.001
48 17 0.01369 0.001
48 19 0.01389 0.001
48 21 0.01595 0.001
48 23 0.01557 0.001
48 25 0.01285 0.001
48 27 0.01169 0.001
48 29 0.00943 0.001
48 31 0.00943 0.001
48 33 0.00885 0.001
48 35 0.00885 0.001
48 39 0.00910 0.001
48 41 0.00691 0.001
48 43 0.00656 0.001
48 45 0.00621 0.001
48 47 0.00329 0.001
48 48 0.00000 0.001
48 49 0.00439 0.001
51 3 0.02001 0.001
51 5 0.01932 0.001
51 7 0.01863 0.001
51 9 0.01889 0.001
51 11 0.01786 0.001
51 13 0.01649 0.001
51 15 0.01734 0.001
51 17 0.01554 0.001
51 19 0.01666 0.001
51 21 0.01752 0.001
51 23 0.01743 0.001
51 25 0.01425 0.001
51 27 0.01322 0.001
51 29 0.01116 0.001
51 31 0.01116 0.001
51 33 0.01048 0.001
51 35 0.00987 0.001
51 37 0.01048 0.001
51 39 0.01099 0.001
51 41 0.00902 0.001
51 43 0.00824 0.001
51 45 0.00852 0.001
51 47 0.00754 0.001
51 49 0.00550 0.001
51 51 0.00000 0.001
